order_id,order_no,trandate,customer,line_no,item,quantity,rate,amount
8536255,123456963,8/10/2025,11 Al Futaim,1,ARM - Contract,-1,100000,-100000
8536255,123456963,8/10/2025,11 Al Futaim,2,UNDEF_SG,-1,0,0
8485749,123456962,24/9/2025,445238 Gifford,1,Club Sandwich,-1,,-3500
8485749,123456962,24/9/2025,445238 Gifford,2,UNDEF-GB,-1,0,0
8485746,123456961,24/9/2025,445052 Altima Technology,1,1001-S,-1,,-1500
8485746,123456961,24/9/2025,445052 Altima Technology,2,UPS,-1,12,-12
8485746,123456961,24/9/2025,445052 Altima Technology,3,-Not Taxable-,-1,0,0
8485745,123456960,24/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-5555
8485745,123456960,24/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8481344,123456959,22/9/2025,21 Harley Davidson,1,Billable Travel,-1,130,-130
8481344,123456959,22/9/2025,21 Harley Davidson,2,S-GB,-1,20,-26
8451526,123456958,16/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-1
8451526,123456958,16/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8451424,123456957,16/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-1
8451424,123456957,16/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8451423,123456956,16/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-1
8451423,123456956,16/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8451215,123456950,16/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-1
8451215,123456950,16/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8451214,123456951,16/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-1
8451214,123456951,16/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8451113,123456955,16/9/2025,445612 Andrew A Attia,1,Club Sandwich,-1,,-1
8451113,123456955,16/9/2025,445612 Andrew A Attia,2,-Not Taxable-,-1,0,0
8451111,90000,16/9/2025,445052 Altima Technology,1,102,-1,,-1
8451111,90000,16/9/2025,445052 Altima Technology,2,UPS,-1,12,-12
8451111,90000,16/9/2025,445052 Altima Technology,3,-Not Taxable-,-1,0,0
8449186,123456940,2/9/2025,11 Al Futaim,1,Air Tickets,-1,,-10
8449186,123456940,2/9/2025,11 Al Futaim,2,UNDEF_SG,-1,0,0
8449185,123456939,2/9/2025,11 Al Futaim,1,Air Tickets,-1,,-10
8449185,123456939,2/9/2025,11 Al Futaim,2,UNDEF_SG,-1,0,0
8449084,123456938,2/9/2025,445153 Singapore Jet Air,1,Air Tickets,-1,,-10
8449084,123456938,2/9/2025,445153 Singapore Jet Air,2,UNDEF_SG,-1,0,0
7787763,123456932,25/5/2025,1 yyy test,1,003 ترميم,-7,100,-700
7787763,123456932,25/5/2025,1 yyy test,2,Club Sandwich,-5,250,-1250
7787763,123456932,25/5/2025,1 yyy test,3,Note 8,-3,100,-300
7787763,123456932,25/5/2025,1 yyy test,4,Kasa Smart Wi-Fi LED Light Bulb by TP-Link,-9,199.99,-1799.91
7787763,123456932,25/5/2025,1 yyy test,5,Full Grilled Chicken,-2,75,-150
7787763,123456932,25/5/2025,1 yyy test,6,UPS,-1,12,-12
7787763,123456932,25/5/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787767,123456936,25/4/2025,1 yyy test,1,003 ترميم,-2,500,-1000
7787767,123456936,25/4/2025,1 yyy test,2,Keyboard HP 1002989,-3,300,-900
7787767,123456936,25/4/2025,1 yyy test,3,A1000122,-5,100,-500
7787767,123456936,25/4/2025,1 yyy test,4,A1000124,-3,400,-1200
7787767,123456936,25/4/2025,1 yyy test,5,UPS,-1,12,-12
7787767,123456936,25/4/2025,1 yyy test,6,-Not Taxable-,-1,0,0
7787764,123456933,25/4/2025,138 Salah Group,1,001 عزل,-3,1000,-3000
7787764,123456933,25/4/2025,138 Salah Group,2,003 ترميم,-2,600,-1200
7787764,123456933,25/4/2025,138 Salah Group,3,1004 HP Server,-4,10000,-40000
7787764,123456933,25/4/2025,138 Salah Group,4,UPS,-1,12,-12
7787764,123456933,25/4/2025,138 Salah Group,5,-Not Taxable-,-1,0,0
7787654,123456925,25/4/2025,1 yyy test,1,003 ترميم,-2,500,-1000
7787654,123456925,25/4/2025,1 yyy test,2,Keyboard HP 1002989,-3,250,-750
7787654,123456925,25/4/2025,1 yyy test,3,A1000122,-5,100,-500
7787654,123456925,25/4/2025,1 yyy test,4,A1000124,-3,400,-1200
7787654,123456925,25/4/2025,1 yyy test,5,UPS,-1,12,-12
7787654,123456925,25/4/2025,1 yyy test,6,-Not Taxable-,-1,0,0
7787543,123456918,25/4/2025,4 10G Technologies,1,001 عزل,-3,1000,-3000
7787543,123456918,25/4/2025,4 10G Technologies,2,003 ترميم,-2,600,-1200
7787543,123456918,25/4/2025,4 10G Technologies,3,1004 HP Server,-4,10000,-40000
7787543,123456918,25/4/2025,4 10G Technologies,4,-Not Taxable-,-1,0,0
7787766,123456935,14/4/2025,1 yyy test,1,Administration,-5,175,-875
7787766,123456935,14/4/2025,1 yyy test,2,Administration,-5,175,-875
7787766,123456935,14/4/2025,1 yyy test,3,Administration,-9,175,-1575
7787766,123456935,14/4/2025,1 yyy test,4,Administration,-4,175,-700
7787766,123456935,14/4/2025,1 yyy test,5,Administration,-2,175,-350
7787766,123456935,14/4/2025,1 yyy test,6,UPS,-1,0,0
7787766,123456935,14/4/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787765,123456934,14/4/2025,1 yyy test,1,Administration,-5,175,-875
7787765,123456934,14/4/2025,1 yyy test,2,Administration,-5,175,-875
7787765,123456934,14/4/2025,1 yyy test,3,Administration,-9,175,-1575
7787765,123456934,14/4/2025,1 yyy test,4,Administration,-4,175,-700
7787765,123456934,14/4/2025,1 yyy test,5,Administration,-2,175,-350
7787765,123456934,14/4/2025,1 yyy test,6,UPS,-1,0,0
7787765,123456934,14/4/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787769,123456937,7/4/2025,11 Al Futaim,1,Cisco RV110W Wireless-N VPN Firewall Appliance,-2,,-600
7787769,123456937,7/4/2025,11 Al Futaim,2,UNDEF_SG,-1,0,0
7787761,123456931,26/3/2025,1 yyy test,1,Administration,-5,175,-875
7787761,123456931,26/3/2025,1 yyy test,2,Administration,-5,175,-875
7787761,123456931,26/3/2025,1 yyy test,3,Administration,-9,175,-1575
7787761,123456931,26/3/2025,1 yyy test,4,Administration,-4,175,-700
7787761,123456931,26/3/2025,1 yyy test,5,Administration,-2,175,-350
7787761,123456931,26/3/2025,1 yyy test,6,UPS,-1,0,0
7787761,123456931,26/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787760,123456930,26/3/2025,1 yyy test,1,Administration,-5,175,-875
7787760,123456930,26/3/2025,1 yyy test,2,Administration,-5,175,-875
7787760,123456930,26/3/2025,1 yyy test,3,Administration,-9,175,-1575
7787760,123456930,26/3/2025,1 yyy test,4,Administration,-4,175,-700
7787760,123456930,26/3/2025,1 yyy test,5,Administration,-2,175,-350
7787760,123456930,26/3/2025,1 yyy test,6,UPS,-1,0,0
7787760,123456930,26/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787759,123456929,26/3/2025,1 yyy test,1,Administration,-5,175,-875
7787759,123456929,26/3/2025,1 yyy test,2,Administration,-5,175,-875
7787759,123456929,26/3/2025,1 yyy test,3,Administration,-9,175,-1575
7787759,123456929,26/3/2025,1 yyy test,4,Administration,-4,175,-700
7787759,123456929,26/3/2025,1 yyy test,5,Administration,-2,175,-350
7787759,123456929,26/3/2025,1 yyy test,6,UPS,-1,0,0
7787759,123456929,26/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787758,123456928,26/3/2025,1 yyy test,1,Administration,-5,175,-875
7787758,123456928,26/3/2025,1 yyy test,2,Administration,-5,175,-875
7787758,123456928,26/3/2025,1 yyy test,3,Administration,-9,175,-1575
7787758,123456928,26/3/2025,1 yyy test,4,Administration,-4,175,-700
7787758,123456928,26/3/2025,1 yyy test,5,Administration,-2,175,-350
7787758,123456928,26/3/2025,1 yyy test,6,UPS,-1,0,0
7787758,123456928,26/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787757,123456927,26/3/2025,1 yyy test,1,Administration,-5,175,-875
7787757,123456927,26/3/2025,1 yyy test,2,Administration,-5,175,-875
7787757,123456927,26/3/2025,1 yyy test,3,Administration,-9,175,-1575
7787757,123456927,26/3/2025,1 yyy test,4,Administration,-4,175,-700
7787757,123456927,26/3/2025,1 yyy test,5,Administration,-2,175,-350
7787757,123456927,26/3/2025,1 yyy test,6,UPS,-1,0,0
7787757,123456927,26/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787656,123456926,26/3/2025,1 yyy test,1,Administration,-5,175,-875
7787656,123456926,26/3/2025,1 yyy test,2,Administration,-5,175,-875
7787656,123456926,26/3/2025,1 yyy test,3,Administration,-9,175,-1575
7787656,123456926,26/3/2025,1 yyy test,4,Administration,-4,175,-700
7787656,123456926,26/3/2025,1 yyy test,5,Administration,-2,175,-350
7787656,123456926,26/3/2025,1 yyy test,6,UPS,-1,0,0
7787656,123456926,26/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787649,123456920,25/3/2025,1 yyy test,1,Administration,-1,175,-175
7787649,123456920,25/3/2025,1 yyy test,2,Administration,-2,175,-350
7787649,123456920,25/3/2025,1 yyy test,3,Administration,-5,175,-875
7787649,123456920,25/3/2025,1 yyy test,4,Administration,-6,175,-1050
7787649,123456920,25/3/2025,1 yyy test,5,Administration,-6,175,-1050
7787649,123456920,25/3/2025,1 yyy test,6,UPS,-1,0,0
7787649,123456920,25/3/2025,1 yyy test,7,-Not Taxable-,-1,0,0
7787331,123456917,25/3/2025,1 yyy test,1,HP Business Desktop 6005 Pro Desktop  - AMD Mini,-4,399.95,-1599.8
7787331,123456917,25/3/2025,1 yyy test,2,003 ترميم,-5,500,-2500
7787331,123456917,25/3/2025,1 yyy test,3,UPS,-1,12,-12
7787331,123456917,25/3/2025,1 yyy test,4,-Not Taxable-,-1,0,0
8536357,123456964,1/1/2025,11 Al Futaim,1,ARM - Contract,-1,100000,-100000
8536357,123456964,1/1/2025,11 Al Futaim,2,UNDEF_SG,-1,0,0
6736949,123456916,11/12/2024,445607 test aus customer,1,Dell M8428-k Converged 10 GBE Switch,-1,5000000,-15000000
6736949,123456916,11/12/2024,445607 test aus customer,2,AUS TAX GROUP,-1,5,-750000
6736949,123456916,11/12/2024,445607 test aus customer,3,AUS TAX GROUP,-1,29,-4350000
6736847,123456915,11/12/2024,445607 test aus customer,1,Dell M8428-k Converged 10 GBE Switch,-1,500000,-1500000
6736847,123456915,11/12/2024,445607 test aus customer,2,AUS TAX GROUP,-1,5,-75000
6736847,123456915,11/12/2024,445607 test aus customer,3,AUS TAX GROUP,-1,29,-435000
5954136,123456914,27/11/2024,444406 Dilley Professional Services - AUS,1,3rd Party Licence,-1,133.18741316,-133.19
5954136,123456914,27/11/2024,444406 Dilley Professional Services - AUS,2,UPS,-1,12,-12
5954136,123456914,27/11/2024,444406 Dilley Professional Services - AUS,3,-Not Taxable-,-1,0,0
5768420,123456913,11/9/2024,445603 Disney Land,1,Support,-2,12000,-24000
5768420,123456913,11/9/2024,445603 Disney Land,2,Keyboard HP 1002989,-1,,0
5768420,123456913,11/9/2024,445603 Disney Land,3,UPS,-1,12,-12
5768420,123456913,11/9/2024,445603 Disney Land,4,-Not Taxable-,-1,0,0
5768017,123456912,11/9/2024,445603 Disney Land,1,Support,-2,12000,-24000
5768017,123456912,11/9/2024,445603 Disney Land,2,UPS,-1,0,0
5768017,123456912,11/9/2024,445603 Disney Land,3,-Not Taxable-,-1,0,0
4406489,123456911,25/6/2024,445556 Adel Sabour Test VB.NET,1,Note 8,-1,100,-100
4406489,123456911,25/6/2024,445556 Adel Sabour Test VB.NET,2,UPS,-1,12,-12
4406489,123456911,25/6/2024,445556 Adel Sabour Test VB.NET,3,-Not Taxable-,-1,0,0
4406488,123456910,24/6/2024,445556 Adel Sabour Test VB.NET,1,Note 8,-1,100,-100
4406488,123456910,24/6/2024,445556 Adel Sabour Test VB.NET,2,Note 8,-1,100,-100
4406488,123456910,24/6/2024,445556 Adel Sabour Test VB.NET,3,UPS,-1,12,-12
4406488,123456910,24/6/2024,445556 Adel Sabour Test VB.NET,4,-Not Taxable-,-1,0,0
4385383,123456905,23/6/2024,16 Abd-Allah Salama,1,3rd Party Licence,-1,2000,-2000
4385383,123456905,23/6/2024,16 Abd-Allah Salama,2,Z-PH,-1,0,0
4385487,123456909,22/6/2024,444563 Brook Systems,1,Note 8,-2,100,-200
4385487,123456909,22/6/2024,444563 Brook Systems,2,Note 8,-2,100,-200
4385487,123456909,22/6/2024,444563 Brook Systems,3,Note 8,-2,100,-200
4385487,123456909,22/6/2024,444563 Brook Systems,4,001 عزل,-5,50,-250
4385487,123456909,22/6/2024,444563 Brook Systems,5,UPS,-1,12,-12
4385487,123456909,22/6/2024,444563 Brook Systems,6,-Not Taxable-,-1,0,0
4385486,123456908,22/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385486,123456908,22/6/2024,444563 Brook Systems,2,Note 8,-2,100,-200
4385486,123456908,22/6/2024,444563 Brook Systems,3,Note 8,-2,100,-200
4385486,123456908,22/6/2024,444563 Brook Systems,4,UPS,-1,12,-12
4385486,123456908,22/6/2024,444563 Brook Systems,5,-Not Taxable-,-1,0,0
4385485,123456907,22/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385485,123456907,22/6/2024,444563 Brook Systems,2,Note 8,-2,100,-200
4385485,123456907,22/6/2024,444563 Brook Systems,3,Note 8,-2,100,-200
4385485,123456907,22/6/2024,444563 Brook Systems,4,UPS,-1,12,-12
4385485,123456907,22/6/2024,444563 Brook Systems,5,-Not Taxable-,-1,0,0
4385484,123456906,22/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385484,123456906,22/6/2024,444563 Brook Systems,2,Note 8,-2,100,-200
4385484,123456906,22/6/2024,444563 Brook Systems,3,UPS,-1,12,-12
4385484,123456906,22/6/2024,444563 Brook Systems,4,-Not Taxable-,-1,0,0
4385381,123456904,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385381,123456904,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385381,123456904,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385381,123456904,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385381,123456904,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385381,123456904,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-100
4385381,123456904,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385381,123456904,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385380,123456903,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385380,123456903,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385380,123456903,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385380,123456903,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385380,123456903,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385380,123456903,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-100
4385380,123456903,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385380,123456903,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385379,123456902,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385379,123456902,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385379,123456902,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385379,123456902,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385379,123456902,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385379,123456902,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-100
4385379,123456902,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385379,123456902,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385378,123456901,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-2500
4385378,123456901,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-2500
4385378,123456901,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-2500
4385378,123456901,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-2500
4385378,123456901,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-2500
4385378,123456901,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-2500
4385378,123456901,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385378,123456901,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385377,123456900,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-2500
4385377,123456900,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-2500
4385377,123456900,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-2500
4385377,123456900,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-2500
4385377,123456900,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-2500
4385377,123456900,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-2500
4385377,123456900,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385377,123456900,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385376,123456899,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-2500
4385376,123456899,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-2500
4385376,123456899,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-2500
4385376,123456899,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-2500
4385376,123456899,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-2500
4385376,123456899,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-2500
4385376,123456899,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385376,123456899,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385375,123456898,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385375,123456898,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385375,123456898,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385375,123456898,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385375,123456898,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385375,123456898,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-100
4385375,123456898,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385375,123456898,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385374,123456897,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385374,123456897,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385374,123456897,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385374,123456897,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385374,123456897,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385374,123456897,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-100
4385374,123456897,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385374,123456897,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385373,123456896,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385373,123456896,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385373,123456896,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385373,123456896,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385373,123456896,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385373,123456896,13/6/2024,444563 Brook Systems,6,Note 8,-1,100,-100
4385373,123456896,13/6/2024,444563 Brook Systems,7,UPS,-1,12,-12
4385373,123456896,13/6/2024,444563 Brook Systems,8,-Not Taxable-,-1,0,0
4385372,123456896,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385372,123456896,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385372,123456896,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385372,123456896,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385372,123456896,13/6/2024,444563 Brook Systems,5,Note 8,-1,100,-100
4385372,123456896,13/6/2024,444563 Brook Systems,6,UPS,-1,12,-12
4385372,123456896,13/6/2024,444563 Brook Systems,7,-Not Taxable-,-1,0,0
4385371,123456896,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385371,123456896,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385371,123456896,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385371,123456896,13/6/2024,444563 Brook Systems,4,Note 8,-1,100,-100
4385371,123456896,13/6/2024,444563 Brook Systems,5,UPS,-1,12,-12
4385371,123456896,13/6/2024,444563 Brook Systems,6,-Not Taxable-,-1,0,0
4385370,123456896,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385370,123456896,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385370,123456896,13/6/2024,444563 Brook Systems,3,Note 8,-1,100,-100
4385370,123456896,13/6/2024,444563 Brook Systems,4,UPS,-1,12,-12
4385370,123456896,13/6/2024,444563 Brook Systems,5,-Not Taxable-,-1,0,0
4385369,123456896,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385369,123456896,13/6/2024,444563 Brook Systems,2,Note 8,-1,100,-100
4385369,123456896,13/6/2024,444563 Brook Systems,3,UPS,-1,12,-12
4385369,123456896,13/6/2024,444563 Brook Systems,4,-Not Taxable-,-1,0,0
4385368,123456896,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385368,123456896,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385368,123456896,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385367,123456895,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385367,123456895,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385367,123456895,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385366,123456894,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385366,123456894,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385366,123456894,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385365,123456893,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385365,123456893,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385365,123456893,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
